_id,index,description,budget,state,city,squareFeet,floor,furnishing,bedrooms,balcony,propertyType,facing,address
67a8a66ef75daf5b31729358,15,"Discover this immaculate 1 BHK flat for sale at the pristine Rabodi in Thane. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! The ready to move flat in the prime area of Rabodi is available at a reasonable price of INR 75 Lac. The spacious apartment is furnished.",5000000,Maharastra,navi-mumbai,500sqft,1outof4,Furnished,2,2,villa,North-East,PushpanarayanComplex
67a8a66ef75daf5b31729359,16,"Kasarvadavali, Thane has an appealing 2 BHK flat for sale with various amenities. It is housed in the well-planned Puraniks Tokyo Bay township in an advantageous location. This is a desirable apartment for sale. This apartment in one of the significant areas of Kasarvadavali is ready to move, and can be purchased at the best price of INR 90 Lac. The spacious apartment is unfurnished. Some of the landmarks in the vicinity include its near to d mart kavesar.",4500000,Maharastra,nagpur,900sqft,4outof7,Unfurnished,2,2,house,North-East,FortuneSiri
67a8a66ef75daf5b3172935a,17,"Have a look at this immaculate 1 BHK flat for sale in Shilphata, Thane. Situated in the Green Woods township, it has a prime location. This premium flat is available for sale at an unbelievable price, so, grab it before it's gone! This ready to move flat in Shilphata can be taken at a very economical pricing of INR 37 Lac. The spacious apartment is unfurnished. Landmarks near the apartment include om public school.",1000000,Maharastra,nagpur,530sqft,21outof31,Unfurnished,4,,villa,,
67a8a66ef75daf5b3172935b,18,"This magnificent 1 BHK Flat is available for sale in Dombivli West, Thane. This flat for resale has a desirable location. The ready to move flat in Dombivli West is all ready for sale at a low-priced budget of INR 35 Lac. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities.",3500000,Maharastra,nagpur,779sqft,3outof5,Unfurnished,2,,villa,East,
67a8a66ef75daf5b3172935c,19,"Discover this immaculate 2 BHK flat for sale at the pristine Kolshet in Thane. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Everest World Lavender. This flat for resale is a choice property. This ready to move property in Kolshet is readily available within an affordable cost of INR 90 Lac. The spacious apartment is unfurnished. The flat is easily approachable because it is near to upcoming metro within 200 meters.",1000008,Maharastra,nagpur,635sqft,,Unfurnished,4,,villa,,FirstCity
67a8a66ef75daf5b3172935d,20,"This lovely 1 BHK Flat in Shahad, Thane is up for sale. This apartment for resale is a great choice. The ready to move flat in the prime area of Shahad is available at a reasonable price of INR 35 Lac. It is a semi-furnished apartment.",4500000,Maharastra,nagpur,1000sqft,2outof3,Semi-Furnished,2,2,villa,East,KaveriApartment
67a8a66ef75daf5b3172935e,21,"Creatively planned and constructed is a 1 BHK flat for sale in Kasarvadavali, Thane. This flat is situated within the renown township of Pride Residency. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat in Kasarvadavali is available for a reasonable price of INR 54 Lac. You will find it semi-furnished. Landmarks near the apartment include opp. to prathmesh tower.",48000002,Maharastra,nagpur,750sqft,,Semi-Furnished,2,,house,,RadhaMadhavVrindavan
67a8a66ef75daf5b3172935f,22,"This gorgeous 2 BHK Flat is available for sale in Pokharan Road Number 2, Thane. Enjoying a prime location, this property is housed in the Ashar Edge society. This is one of the best properties available for resale. You can buy this ready to move flat in Pokharan Road Number 2 at a reasonable price of INR 1.65 Cr. You will find it unfurnished. Prominent landmarks in and around this locality are pokhran road no 2.",2500000,Maharastra,nagpur,750sqft,2outof3,Unfurnished,2,,villa,,
67a8a66ef75daf5b31729360,23,"Up for immediate sale is a 2 BHK apartment in Kolshet Road, Thane. Don't miss this bargain flat for sale. Ideally situated in the Lodha Amara township it enjoys a prime location. This flat for resale is a choice property. You can buy this ready to move flat in Kolshet Road at a reasonable price of INR 85 Lac. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities. The prime landmarks near this property are lodha amara is one of mumbai thanes most sought after destination.",4500000,Maharastra,nagpur,779sqft,2outof2,Unfurnished,1,,house,,
67a8a66ef75daf5b31729361,24,"Creatively planned and constructed is a 3 BHK flat for sale in Ghodbunder Road, Thane. Situated in the excellent Tierra Coop Hsg Soc Ltd township. The flat enjoys a prime location. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat located in Ghodbunder Road is available for purchase at a fair price of INR 1.28 Cr. The flat is semi-furnished and is suitable for any family size.",3700000,Maharastra,nagpur,635sqft,3outof3,Semi-Furnished,2,2,villa,,
67a8a66ef75daf5b31729362,25,This ready to move-in 1 BHK flat is available for sale at the premium Mumbra in Thane. This is a desirable apartment for resale. The ready to move flat in Mumbra is all ready for sale at a low-priced budget of INR 7.5 Lac. It is unfurnished to accommodate your needs.,70000049,Maharastra,mumbai,828sqft,18outof29,Unfurnished,5,2,villa,North-East,
67a8a66ef75daf5b31729363,26,"1 BHK flat available for sale in Thane in the prime location of Kalyan. Your search ends here, because this flat for resale is among the best bargains in town. The ready to move flat in Kalyan is all ready for sale at a low-priced budget of INR 42 Lac. The flat is sold in furnished condition.",1000000,Maharastra,mumbai,779sqft,3outof45,Furnished,2,,mansion,,DBWoods
67a8a66ef75daf5b31729364,27,"This beautiful 1 BHK Flat is available for sale in Neral, Thane. This flat is placed in a marvellous location within the Xrbia Warai complex. This is a desirable apartment for resale. This ready to move property in Neral is readily available within an affordable cost of INR 24 Lac. Rest easy, as its possession date is Dec '21. The apartment is unfurnished.",1000000,Maharastra,mumbai,635sqft,5outof41,Unfurnished,2,,villa,,DBWoods
67a8a66ef75daf5b31729365,28,"Creatively planned and constructed is a 1 BHK flat for sale in Anand Nagar Thane West, Thane. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat in Anand Nagar Thane West comes at an affordable price of INR 61 Lac. This contemporary apartment is unfurnished.",10000015,Maharastra,mumbai,750sqft,17outof17,Unfurnished,1,1,house,,RaghavOne
67a8a66ef75daf5b31729366,29,"3 BHK flat available for sale in Thane in the prime location of Hiranandani Estate. Situated in the excellent Palacia Kingston Phase 2 township. The flat enjoys a prime location. This flat all equipped with required facilities, is up for resale. Available at a reasonable selling price of INR 1.75 Cr, this ready to move apartment in Hiranandani Estate is a great buy. It is furnished to accommodate your needs. Prominent landmarks in and around this locality are bhoomi acres phase2.",1000001,Maharastra,mumbai,885sqft,8outof22,Furnished,2,1,house,East,ANAAvantGarde
67a8a66ef75daf5b31729367,30,"This exquisite 1 BHK Flat is offered for sale in Thakurli, Thane. Enjoying a prime location, this property is housed in the Balaji Annex society. This premium flat is available for sale at an unbelievable price, so, grab it before it's gone! The ready to move flat in the prime area of Thakurli is available at a reasonable price of INR 47 Lac. The flat is semi-furnished and is suitable for any family size. Some nearby landmarks are thakurli 90 ft road station 3 min walking distance..",9600000,Maharastra,mumbai,1000sqft,1outof23,Semi-Furnished,1,,house,East,SapphireLakeside
67a8a66ef75daf5b31729368,31,"This beautiful 2 BHK Flat is available for sale in New Panvel, Navi Mumbai. This flat is situated in the Tricity Luxuria township and is equipped with premium facilities. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! The ready to move flat in New Panvel is all ready for sale at a low-priced budget of INR 1.07 Cr. This unfurnished flat is strategically designed with all the amenities to enhance the living experience. reliance. are some of the well-known landmarks in this locality.",4500000,Gujarat,ahmedabad,640sqft,9outof12,Unfurnished,2,,villa,,NakshatraAspire
67a8a66ef75daf5b31729369,32,"Kamothe, Navi Mumbai has an appealing 2 BHK flat for sale with various amenities. The property is ideally located in a strategic location in Lotus Court township. This flat for resale is just the type of property you have been searching for! This ready to move flat in Kamothe can be availed at a reasonable price of INR 75.5 Lac. The flat is unfurnished and makes for an ideal choice for any family. Significant landmarks in its proximity are near by school colleges.",8800000,Gujarat,ahmedabad,530sqft,9outof10,Unfurnished,2,,mixedusebuilding,,PruthviTower
67a8a66ef75daf5b3172936a,33,"This gorgeous 2 BHK Flat is available for sale in Kamothe, Navi Mumbai. Situated in the Basant Bahar Apartment township, it has a prime location. This is a desirable apartment for resale. The ready to move flat in Kamothe is all ready for sale at a low-priced budget of INR 90 Lac. The flat is sold in unfurnished condition.",9300000,Gujarat,ahmedabad,750sqft,4outof10,Unfurnished,3,,villa,,PruthviTower
67a8a66ef75daf5b3172936b,34,"One can find this stunning 1 BHK flat for sale in Uran, Navi Mumbai. This flat for resale is just the type of property you have been searching for! This apartment ready to move in the Uran is available for an attractive price of INR 22 Lac. This unfurnished flat is strategically designed with all the amenities to enhance the living experience.",9300000,Gujarat,ahmedabad,1200sqft,4outof10,Unfurnished,3,,house,,PruthviTower
67a8a66ef75daf5b3172936c,35,"This magnificent 3 BHK Flat is available for sale in Nerul East, Navi Mumbai. This flat is situated within the renown township of L&t Seawoods Residences. This apartment for resale is a great choice. This apartment in one of the significant areas of Nerul East is ready to move, and can be purchased at the best price of INR 3.85 Cr. It is a unfurnished apartment. The prime landmarks near this property are nerul navi mumbai..",9000000,Gujarat,ahmedabad,885sqft,5outof5,Unfurnished,3,,house,,SAFALPARIVESH
67a8a66ef75daf5b3172936d,36,"1 BHK, Multistorey Apartment is available for Sale in Roadpali, Navi Mumbai for 56.0 Lac(s)",6500000,Gujarat,ahmedabad,1000sqft,,Unfurnished,2,2,exceptionalproperty,East,
67a8a66ef75daf5b3172936e,37,"1 BHK, Multistorey Apartment is available for Sale in Roadpali, Navi Mumbai for 56.0 Lac(s)",2500000,Gujarat,ahmedabad,640sqft,5outof7,Unfurnished,1,1,apartmentblock,East,ParshwaResidency
67a8a66ef75daf5b3172936f,38,"1 BHK, Multistorey Apartment is available for Sale in Roadpali, Navi Mumbai for 56.50 Lac(s)",2700000,Gujarat,ahmedabad,750sqft,3outof4,Unfurnished,1,,villa,,
67a8a66ef75daf5b31729370,39,"Discover this immaculate 1 BHK flat for sale at the pristine Road Pali in Navi Mumbai. Enjoying a prime location, this property is housed in the Ma Laxmi Heights society. This flat for resale is a choice property. This ready to move flat is offered at an economical price of INR 57 Lac. This immaculate flat boasts of coming in unfurnished form which takes the entire deal to the next level.",4200000,Gujarat,ahmedabad,828sqft,4outof7,Unfurnished,1,1,villa,North-East,SaiGreenValley
67a8a66ef75daf5b31729371,40,"This ready to move-in 1 BHK flat is available for sale at the premium Road Pali in Navi Mumbai. Strategically situated in the Ma Laxmi Heights site, it is placed at a prime location. This flat is available as a resale property. Located in Road Pali, this ready to move apartment is sold at a fair selling price of INR 57 Lac. It is unfurnished to accommodate your needs.",2500000,Gujarat,ahmedabad,1000sqft,7outof7,Unfurnished,1,1,house,East,PanchShlokResidency
67a8a66ef75daf5b31729372,41,"Have a look at this immaculate 1 BHK flat for sale in Road Pali, Navi Mumbai. It is based at Ma Laxmi Heights complex, that occupies a prominent place in the locality. This apartment is a property of choice for resale. Available at a reasonable selling price of INR 60 Lac, this ready to move apartment in Road Pali is a great buy. The spacious apartment is unfurnished.",7000000,Karnataka,bangalore,530sqft,10outof18,Unfurnished,2,,apartment,,
67a8a66ef75daf5b31729373,42,"This magnificent 3 BHK Flat is available for sale in Sector 35G Kharghar, Navi Mumbai. This flat is situated in the Sai Spring township and is equipped with premium facilities. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! In Sector 35G Kharghar, this ready to move flat is available at an attractive price of INR 1.45 Cr. It is a unfurnished apartment. kharghar sector 35-g are some major landmarks near the apartment.",1000005,Karnataka,bangalore,779sqft,12outof32,Unfurnished,2,1,apartment,East,
67a8a66ef75daf5b31729374,43,"This beautiful 2 BHK Flat is available for sale in Ulwe, Navi Mumbai. It enjoys an excellent location within the Sai Sapphire. This flat for resale is just the type of property you have been searching for! This ready to move flat in Ulwe is available for a reasonable price of INR 89 Lac. The apartment is semi-furnished.",20000075,Karnataka,bangalore,1000sqft,12outof19,Semi-Furnished,4,1,apartment,East,
67a8a66ef75daf5b31729375,44,"Discover this immaculate 1 BHK flat for sale at the pristine CBD Belapur in Navi Mumbai. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! This ready to move flat in CBD Belapur comes at an affordable price of INR 29 Lac. This unfurnished flat is strategically designed with all the amenities to enhance the living experience.",6500000,Karnataka,bangalore,885sqft,1outof5,Unfurnished,2,,apartment,,
67a8a66ef75daf5b31729376,45,"This attractive 4 BHK apartment can be found for sale in Kharghar, Navi Mumbai. Ideally situated in the Paradise Sai World Empire township it enjoys a prime location. This flat for sale has a desirable location. This ready to move flat in Kharghar comes at an affordable price of INR 4.25 Cr. Available in unfurnished state, this flat is a great buy. The prime landmarks near this property are closed to schools ,.",7500000,Karnataka,bangalore,635sqft,12outof15,Unfurnished,1,,apartment,,
67a8a66ef75daf5b31729377,46,"This lovely 4 BHK Flat in Kharghar, Navi Mumbai is up for sale. This flat is situated in the Paradise Sai World Empire township and is equipped with premium facilities. This flat for sale has a desirable location. This ready to move flat in Kharghar can be availed at a reasonable price of INR 4 Cr. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities. Prominent landmarks in and around this locality are closed to market, schools.",5600000,TamilNadu,chennai,1000sqft,1outof3,Unfurnished,2,1,house,North,
67a8a66ef75daf5b31729378,47,"Kharghar, Navi Mumbai has an attractive 2 BHK Flat for sale. Situated in the excellent Paradise Sai Crystals township. The flat enjoys a prime location. This flat for resale is just the type of property you have been searching for! This ready to move flat in Kharghar comes at an affordable price of INR 1.10 Cr. The flat is unfurnished and makes for an ideal choice for any family. Prominent landmarks in and around this locality are the property is near to the metro station and market with prime locati.",9000000,TamilNadu,chennai,635sqft,1outof2,Unfurnished,2,,house,,
67a8a66ef75daf5b31729379,48,"This exquisite 4 BHK Flat is offered for sale in Panvel, Navi Mumbai. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Indiabulls Greens Panvel. This apartment for sale is a great choice. You can buy this ready to move flat in Panvel at a reasonable price of INR 1.29 Cr. It is unfurnished to accommodate your needs. The flat is in close proximity to prominent landmarks like school mall market inside.",9000000,TamilNadu,chennai,500sqft,3outof5,Unfurnished,2,1,house,West,
67a8a66ef75daf5b3172937a,49,"Have a look at this immaculate 1 BHK flat for sale in Kamothe, Navi Mumbai. Ideally situated in the Aniruddha Enclave township it enjoys a prime location. This flat for resale is a choice property. In Kamothe, this ready to move flat is available at an attractive price of INR 48 Lac. This unfurnished flat is strategically designed with all the amenities to enhance the living experience.",1000002,TamilNadu,chennai,828sqft,1outof2,Unfurnished,4,2,house,East,
67a8a66ef75daf5b3172937b,50,"This magnificent 1 BHK Flat is available for sale in Kamothe, Navi Mumbai. Well-tucked in the Aniruddha Enclave township, the property is easily accessible. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat in Kamothe can be availed at a reasonable price of INR 48 Lac. This contemporary apartment is unfurnished.",4500000,TamilNadu,chennai,640sqft,1outof4,Unfurnished,2,1,house,East,
67a8a66ef75daf5b3172937c,51,"This beautiful 1 BHK Flat is available for sale in Kamothe, Navi Mumbai. This flat is situated within the renown township of Aniruddha Enclave. This flat all equipped with required facilities, is up for resale. The ready to move flat in Kamothe is all ready for sale at a low-priced budget of INR 48 Lac. The flat is unfurnished and makes for an ideal choice for any family.",7800000,TamilNadu,chennai,530sqft,1outof3,Unfurnished,2,1,house,East,
67a8a66ef75daf5b3172937d,52,"This magnificent 2 BHK Flat is available for sale in Kharghar, Navi Mumbai. Strategically situated in the Bhagwati Greens 2 site, it is placed at a prime location. Your search ends here, because this flat for sale is among the best bargains in town. This ready to move flat located in Kharghar is available for purchase at a fair price of INR 1.65 Cr. The flat is available in unfurnished condition. near by central park. are some of the well-known landmarks in this locality.",1000001,TamilNadu,chennai,635sqft,3outof4,Unfurnished,3,,house,,
67a8a66ef75daf5b3172937e,53,"This gorgeous 1 BHK Flat is available for sale in Panvel, Navi Mumbai. It is housed in the well-planned Chinmay Gaurang township in an advantageous location. This is one of the best properties available for resale. This ready to move flat is offered at an economical price of INR 32.5 Lac. The flat is semi-furnished and is suitable for any family size.",2000003,Haryana,gurgaon,500sqft,11outof22,Semi-Furnished,3,3,house,East,DhootTimeResidency
67a8a66ef75daf5b3172937f,54,"One can find this stunning 1 BHK flat for sale in Kamothe, Navi Mumbai. This flat is situated in the Aniruddha Enclave township and is equipped with premium facilities. This flat for resale is a choice property. This ready to move flat in Kamothe comes at an affordable price of INR 49 Lac. The flat is unfurnished and is suitable for any family size.",1000000,Haryana,gurgaon,828sqft,3outof26,Unfurnished,2,3,house,North,SSTheLeaf
67a8a66ef75daf5b31729380,55,"Sector 5-Kharghar, Navi Mumbai has an appealing 1 BHK flat for sale with various amenities. This flat is situated within the renown township of Adhiraj Gardens. This apartment for resale is a great choice. This ready to move flat in Sector 5-Kharghar can be availed at a reasonable price of INR 72 Lac. The apartment is unfurnished.",10000005,Haryana,gurgaon,640sqft,3outof3,Unfurnished,3,3,house,,SupertechAraville
67a8a66ef75daf5b31729381,56,"Creatively planned and constructed is a 2 BHK flat for sale in Roadpali, Navi Mumbai. Situated in the excellent The Springs township. The flat enjoys a prime location. This flat for resale is a choice property. This ready to move flat in Roadpali is available for a reasonable price of INR 1.05 Cr. This immaculate flat boasts of coming in unfurnished form which takes the entire deal to the next level. Some of the landmarks in the vicinity include near by sbi bank sector 20 roadpali.",60000065,Haryana,gurgaon,635sqft,15outof15,Unfurnished,6,3,house,North,RaisinaResidenc
67a8a66ef75daf5b31729382,57,This ready to move-in 2 BHK flat is available for sale at the premium New Panvel in Navi Mumbai. This flat is placed in a marvellous location within the Pushpanarayan Complex complex. This apartment is a property of choice for resale. This ready to move flat in New Panvel comes at an affordable price of INR 50 Lac. The flat is available in semi-furnished condition.,10000055,Haryana,gurgaon,1000sqft,2outof3,Semi-Furnished,3,,house,,
67a8a66ef75daf5b31729383,58,"One can find this stunning 2 BHK flat for sale in Palm Beach Road, Navi Mumbai. This flat for resale is just the type of property you have been searching for! This ready to move flat in Palm Beach Road comes at an affordable price of INR 2.20 Cr. You will find it furnished. Some nearby landmarks are podar international school, d-mart, cafe coffee day.",1000008,Haryana,gurgaon,750sqft,7outof15,Furnished,4,3,house,East,SSTheLeaf
67a8a66ef75daf5b31729384,59,"This lovely 3 BHK Flat in Sector 14 Vashi, Navi Mumbai is up for sale. Ideally situated in the Raheja Residency township it enjoys a prime location. This flat is an attractive property for resale. This ready to move flat in Sector 14 Vashi comes at an affordable price of INR 3.75 Cr. This flat is an ideal choice because it is an furnished apartment with all basic amenities.",20000014,Haryana,gurgaon,779sqft,Groundoutof12,Furnished,3,3,house,North,SSTheLeaf
67a8a66ef75daf5b31729385,60,"Discover this immaculate 1 BHK flat for sale at the pristine Panvel in Navi Mumbai. This flat all equipped with required facilities, is up for resale. This ready to move flat is offered at an economical price of INR 30 Lac. It is unfurnished to accommodate your needs. d mart, dav school, st joseph school sector 4 new panvel. are some major landmarks near the apartment.",8800000,Haryana,gurgaon,530sqft,8outof11,Unfurnished,2,2,house,North-East,TulipOrange
67a8a66ef75daf5b31729386,61,"Carefully laid out in the prime location of Brahma appt in Nagpur, this spacious 2 BHK flat on sale is a meticulously planned project. This is a desirable apartment for resale. In Brahma appt, this ready to move flat is available at an attractive price of INR 60 Lac. It is a furnished apartment.",1000002,Haryana,gurgaon,1200sqft,1outof3,Furnished,3,3,house,West,SSSouthend
67a8a66ef75daf5b31729387,62,"Creatively planned and constructed is a 3 BHK flat for sale in Amravati Road, Nagpur. This flat for resale is just the type of property you have been searching for! This apartment ready to move in the Amravati Road is available for an attractive price of INR 90 Lac. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities.",10000000,Telengana,hyderabad,779sqft,Groundoutof3,Unfurnished,6,,house,,
67a8a66ef75daf5b31729388,63,"This magnificent 2 BHK Flat is available for sale in Manish Nagar, Nagpur. The property is ideally located in a strategic location in Fortune Siri township. This apartment is a property of choice for resale. This ready to move flat located in Manish Nagar is available for purchase at a fair price of INR 45 Lac. You will find it unfurnished. This 2 BHK flat boasts of being in close proximity to significant landmarks like nearby school, hospiktal, market. that enhance the overall living experience.",1000006,Telengana,hyderabad,1000sqft,,Unfurnished,3,,house,,
67a8a66ef75daf5b31729389,64,"This exquisite 3 BHK Flat is offered for sale in Swavlambi Nagar, Nagpur. This flat for sale is just the type of property you have been searching for! This ready to move flat in Swavlambi Nagar comes at an affordable price of INR 75 Lac. The flat has been handed over to the buyer on Feb '23, which is its date of possession. The flat is available in semi-furnished condition. The property is strategically placed near prominent places as near mokhare college which make for the smooth living of residents.",4500000,Telengana,hyderabad,500sqft,3outof4,Semi-Furnished,2,,house,,
67a8a66ef75daf5b3172938a,65,Discover this immaculate 2 BHK flat for sale at the pristine Gotal Pajri in Nagpur. Invest your valuable money in this flat that is for resale. This ready to move flat in Gotal Pajri can be taken at a very economical pricing of INR 35.5 Lac. The spacious apartment is semi-furnished.,4200000,Maharastra,thane,500sqft,10outof11,Semi-Furnished,1,2,house,,SrushtiSiddhiMangalMurtiComplex
67a8a66ef75daf5b3172938b,66,"Have a look at this immaculate 2 BHK flat for sale in Gotal Pajri, Nagpur. This apartment is a property of choice for resale. You can buy this ready to move flat in Gotal Pajri at a reasonable price of INR 51 Lac. It is semi-furnished to accommodate your needs.",1000004,Maharastra,thane,779sqft,10outof29,Semi-Furnished,2,,exceptionalproperty,East,SunrisebyKalpataru
67a8a66ef75daf5b3172938c,67,"Civil Lines, Nagpur has an appealing 4 BHK flat for sale with various amenities. This flat for resale is a choice property. Located in Civil Lines, this ready to move apartment is sold at a fair selling price of INR 4.13 Cr. It is a unfurnished apartment.",1000006,Maharastra,thane,635sqft,20outof42,Unfurnished,2,,house,West,TenXHabitatRaymondRealty
67a8a66ef75daf5b3172938d,68,"Up for immediate sale is a 4 BHK apartment in Civil Lines, Nagpur. Don't miss this bargain flat for sale. This flat all equipped with required facilities, is up for resale. This ready to move flat in Civil Lines is available for a reasonable price of INR 4.51 Cr. This contemporary apartment is semi-furnished.",4500000,Maharastra,thane,500sqft,2outof7,Semi-Furnished,1,1,villa,East,ViratAangan
67a8a66ef75daf5b3172938e,69,"This gorgeous 2 BHK Flat is available for sale in Raj nagar, Nagpur. Invest your valuable money in this flat that is for resale. The ready to move flat in the prime area of Raj nagar is available at a reasonable price of INR 55 Lac. The flat is available in furnished condition.",10000035,Maharastra,thane,473sqft,8outof20,Furnished,2,,house,,RegencyHeights
67a8a66ef75daf5b3172938f,70,"This lovely 3 BHK Flat in Itwari, Nagpur is up for sale. This apartment is a property of choice for resale. This ready to move flat in Itwari is available for a reasonable price of INR 65 Lac. You will find it furnished.",7500000,Maharastra,thane,500sqft,2outof3,Furnished,1,,house,,
